Kartennummer,Szenario (deutsch),Szenarien (englisch),Schlagwörter,Ableitung / Practice ,Typ,Sub
15,"Care-Arbeit wird gemeinschaftlich organisiert: Erziehung, Pflege und emotionale Unterstützung liegen bei stabilen sozialen Gruppen.","Care work such as childcare, eldercare, and emotional support is shared within stable groups of friends.",Extended Family,"Ask your friends with kids or elders to care for, how you can help them.",Community-Builder,"Optimist, Skeptiker"
16,Freund*innenschaft wird hybrid: Menschliche Nähe wird durch KI ergänzt und stabilisiert.,Friendship becomes hybrid: human closeness is complemented and stabilized by AI.,Hybrid Friendship,"Find out what you want to keep soley human, and where you could imagine AI supporting you emotionally.",Optimist,Techno-Libertarian
17,"Emotionale Begleitung, Bestätigung und intimes Feedback wird nicht nur von Freund*innen – sondern auch von KI-Companions angenommen.","Emotional companionship, affirmation, and intimate feedback are provided not only by friends, but also by AI companions.",Hybrid Friendship,,Skeptiker,Post-Romantik
18,"Freund*innenschaften werden rechtlich abgesichert, inklusive Pflegeverantwortung, Mitspracherechten und finanzieller Absicherung.","Friendships are legally protected, including rights to care, decision-making, and financial security.","Marriage, Romantic Partnership",,Community-Builder,"Post-Romantik, Freundschaftsidealist, Skeptiker"
19,"Jede Person ist Teil mindestens einer lebenslangen Bezugsfreundschaft, die gesellschaftlich ähnlich anerkannt ist wie Ehe.",Every person belongs to at least one long-term friendship bond that is socially valued like marriage.,"Marriage, Romantic Partnership",Create and nurture a meaningful and close friendship with at least one person.,Community-Builder,Optimist
20,Freund*innenschaften sind primäre Haushaltsmodelle – romantische Partner*innen kommen nur zu Besuch.,Living together with friends becomes the main household model; romantic partners usually do not live together.,"Marriage, Romantic Partnership",Challenge the idea of living with a romantic partner as the final goal – talk with your friends about it. What do they think?,Freundschaftsidealist,"Post-Romantik, Skeptiker"
21,"Freund*innengruppen teilen Besitz, Vorsorge und Verantwortung, von Wohnraum bis Altersabsicherung.","Groups of friends share housing, money, and long-term security, including retirement planning.","Marriage, Romantic Partnership",Build more communes.,Freundschaftsidealist," Post-Romantik, Community-Builder, Optimist"
22,Langfristige Freund*nnenschaften ersetzen romantische Partnerschaften als stabilste Form von Nähe und Verlässlichkeit.,Long-term friendships are seen as more reliable than romantic relationships.,"Marriage, Romantic Partnership",Nurture your friendships as much as you would your romantic realtionship.,Freundschaftsidealist,"Community-Builder, Freundschaftsidealist, Optimist"
23,In medizinischen Notfällen entscheiden enge Freund*innen über Behandlungen und Pflege.,"In medical emergencies, close friends are allowed to make care and treatment decisions.","Marriage, Romantic Partnership",Make a friend your emergency contact.,Freundschaftsidealist,Post-Romantik
24,"Der Begriff „Single“ verschwindet, weil gesellschaftlich niemand mehr als alleinstehend gilt, solange er Teil einer Freund*innengruppe ist.",The idea of being “single” disappears because belonging to a friendship group means you are never considered alone.,"Marriage, Romantic Partnership",Invest your time in energy in building strong bonds to friends.,Freundschaftsidealist,Optimist
25,"Sexuelle Beziehungen werden nicht mehr auf romantische Partner begrenzt, weil Freund*innenschaften als sicherere, gleichberechtigtere Räume für Sexualität gelten.",Sexual relationships are no longer limited to romantic couples; friends can also be sexual partners in safe and equal ways.,"Marriage, Romantic Partnership",Explore the idea of having sex outside the romantic – maybe even with friends?,Post-Romantik,"Skeptiker, Freundschaftsidealsit"
26,"Nicht Ehepaare, sondern Freund*innenschafts-Cluster werden staatlich gefördert.",The state supports friendship groups rather than married couples with benefits and legal recognition.,"Marriage, Romantic Partnership",Marry your friends.,Post-Romantik," Post-Romantik, Community-Builder, Optimist"
27,"Romantische Beziehungen gelten als unzuverlässig und dürfen deshalb keine Langzeitverträge, Versicherungen oder staatliche Vorteile auslösen.",Romantic relationships are seen as less stable and no longer bring legal or financial advantages.,Radical Friendship,Make sure you don't have to financially rely on a romantic partner.,Post-Romantik,Skeptiker
28,"Das höchste soziale Ideal ist nicht die romantische Liebe zu finden, sondern Loyalität, Solidarität und geteilte Verantwortung in Freund*innenschaften.","The main social ideal is not romantic love, but loyalty, trust, and shared responsibility within friendships.",Radical Friendship,,Post-Romantik,Skeptiker
29,Die romantische Zweierbeziehung verliert ihren Status als Lebensziel und wird nur noch eine von vielen möglichen Beziehungsformen.,Friendship is the dominant form of relationship people want to achieve in life.,Radical Friendship,,Post-Romantik,Skeptiker
30,Freund*innenschaften werden vor romantischen Beziehungen gezogen / priorisiert.,Friendships are prioritized over romantic relationships.,Radical Friendship,,Skeptiker,
