Kartennummer,Szenario (deutsch),Szenarien (englisch),Schlagwörter,Ableitung / Practice (de),Ableitung / Practice (en)
11,"Sorgeabeit wird gemeinschaftlich organisiert: Erziehung, Pflege und emotionale Unterstützung liegen bei stabilen sozialen Gruppen.","Care work such as childcare, eldercare, and emotional support is shared within stable groups of friends.",Extended Family,Unterstütze Freund*innen bei Sorge- und Care-Arbeit. Wie kannst du für sie da sein?,Help and support your friends with care work. How can you show up for them?
12,Freund*innenschaft wird hybrid: Menschliche Nähe wird durch KI ergänzt und stabilisiert.,Friendship becomes hybrid: human closeness is complemented and stabilized by AI.,Hybrid Friendship,"Überlege, was für dich unbedingt menschlich bleiben soll – und wo du dir emotionale Unterstützung durch KI vorstellen kannst.","Find out what you want to keep soley human, and where you could imagine AI supporting you emotionally."
13,"Emotionale Begleitung, Bestätigung und intimes Feedback wird nicht nur von Freund*innen – sondern auch von KI-Companions angenommen.","Emotional companionship, affirmation, and intimate feedback are provided not only by friends, but also by AI companions.",Hybrid Friendship,"Mach deinen Freund*innen öfter Komplimente, schenke ihnen Bestätigung und ehrliches, intimes Feedback.","Give more compliments, affirmnation and intimate feedback to your friends."
14,"Freund*innenschaften werden rechtlich abgesichert, inklusive Pflegeverantwortung, Mitspracherechten und finanzieller Absicherung.","Friendships are legally protected, including rights to care, decision-making, and financial security.","Marriage, Romantic Partnership","Nimm Freund*innen in rechtliche Dokumente auf: Versicherungen, Testament, Bankkonten.","Make friends part of your legal doucements: inurances, testament, bank accounts"
15,"Jede Person ist Teil mindestens einer lebenslangen Freund*innenbindung, die gesellschaftlich ähnlich wertgeschätzt wird wie die Ehe.",Every person belongs to at least one long-term friendship bond that is socially valued like marriage.,"Marriage, Romantic Partnership","Wähle mindestens eine Freund*innenschaft, um den Alltag eng miteinander zu teilen.",Chose at least one friend to share your everyday life with.
16,Das Zusammenleben mit Freund*innen wird zum wichtigsten Haushaltsmodell; romantische Partner*innen leben meist nicht zusammen.,Living together with friends becomes the main household model; romantic partners usually do not live together.,"Marriage, Romantic Partnership",Normalisiere langfristiges Zusammenleben mit Freund*innen.,Normalize living in with friends long-term.
17,"Freund*innengruppen teilen Besitz, Vorsorge und Verantwortung, von Wohnraum bis Altersabsicherung.","Groups of friends share housing, money, and long-term security, including retirement planning.","Marriage, Romantic Partnership",Baue mit Freund*innen mehr gemeinschaftliche Wohn- und Lebensformen auf.,Build more communes with your friends.
18,Langfristige Freund*nnenschaften ersetzen romantische Partnerschaften als stabilste Form von Nähe und Verlässlichkeit.,Long-term friendships are seen as more reliable than romantic relationships.,"Marriage, Romantic Partnership",Pflege Freund*innenschaften mit derselben Aufmerksamkeit wie romantische Beziehungen.,Nurture friendships like romantic ones.
19,In medizinischen Notfällen entscheiden enge Freund*innen über Behandlungen und Pflege.,"In medical emergencies, close friends are allowed to make care and treatment decisions.","Marriage, Romantic Partnership",Mache eine Freund*in zu deiner Notfallkontaktperson.,Make a friend your emergency contact.
20,"Die Vorstellung, „single“ zu sein, verschwindet, weil die Zugehörigkeit zu einer Freund*innengruppe bedeutet, dass man nie als allein gilt.",The idea of being “single” disappears because belonging to a friendship group means you are never considered alone.,"Marriage, Romantic Partnership",Rücke Dates mit Fremden in den Hintergrund und investiere mehr Energie in Treffen mit Freund*innen,De-center dates with strangers and invest more engery in meeting up with friends.
21,"Sexuelle Beziehungen werden nicht mehr auf romantische Partner begrenzt, weil Freund*innenschaften als sicherere, gleichberechtigtere Räume für Sexualität gelten.",Sexual relationships are no longer limited to romantic couples; friends can also be sexual partners in safe and equal ways.,"Marriage, Romantic Partnership",Erforsche Sexualität außerhalb romantischer Beziehungen – möglicherweise mit Freund*innen.,"Explore sex outside romance, possibly with friends."
22,Der Staat unterstützt Freund*innengruppen genauso wie Ehepaaren mit Leistungen und rechtlicher Anerkennung.,The state supports friendship groups rather than married couples with benefits and legal recognition.,"Marriage, Romantic Partnership",Heirate eine*n Freund*in statt einer*m romantischen Partner*in.,Marry a friend instead of a romantic partner.
23,Romantische Beziehungen gelten als weniger stabil und bringen keine rechtlichen oder finanziellen Vorteile mehr.,Romantic relationships are seen as less stable and no longer bring legal or financial advantages.,Radical Friendship,"Achte darauf, finanziell nicht von einer romantischen Beziehung abhängig zu sein.",Make sure you don't financially rely on a romantic partner.
24,"Das zentrale gesellschaftliche Ideal ist nicht romantische Liebe, sondern Loyalität, Vertrauen und geteilte Verantwortung innerhalb von Freund*innenschaften.","The main social ideal is not romantic love, but loyalty, trust, and shared responsibility within friendships.",Radical Friendship,Geh mit Freund*innen auf Dates und schafft bewusst verbindende Erinnerungen.,Go on dates and create bonding memories with friends.
25,"Freund*innenschaft ist die dominante Beziehungsform, die Menschen im Leben erreichen wollen.",Friendship is the dominant form of relationship people want to achieve in life.,Radical Friendship,Stelle platonische Beziehungen in den Mittelpunkt deines Lebens.,Center platonic relationships in your life.
26,Freund*innenschaften haben Vorrang vor romantischen Beziehungen.,Friendships are prioritized over romantic relationships.,Radical Friendship,Bleib deinen Freund*innen nahe – auch wenn du in einer romantischen Beziehung bist.,"Stay close to your friends, even when you are in a romantic relationship."
